dt,feat,lam,clip_x,n_train_pairs,skipped_pairs,n_test_traj_used,rmse_direct_raw,train_traj_ids,val_traj_ids,test_traj_ids_intrain,used_test_traj_ids,seed
0.03,linear,1.0,8.0,4179,0,19,1.9431840155212912,"[2, 11, 26, 21, 10, 4, 28, 16, 23, 6, 18, 25, 3, 29, 8, 0, 19, 12, 20, 13, 7]","[5, 17, 14, 22]","[9, 27, 24, 1, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0
0.03,linear,1.0,8.0,4179,0,19,1.8963522829555985,"[21, 16, 7, 1, 3, 28, 15, 11, 25, 20, 24, 29, 26, 23, 2, 17, 12, 10, 4, 5, 8]","[0, 9, 14, 18]","[22, 13, 27, 6, 19]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1
0.03,linear,1.0,8.0,3980,199,19,1.9420275757828054,"[15, 24, 7, 26, 12, 16, 18, 14, 22, 10, 25, 28, 20, 23, 6, 29, 2, 11, 13, 0, 27]","[17, 19, 9, 5]","[21, 3, 4, 8, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2
0.03,linear,1.0,8.0,3980,199,19,1.8727721466797933,"[26, 20, 23, 3, 27, 12, 17, 28, 18, 10, 0, 25, 11, 13, 8, 15, 9, 6, 1, 2, 29]","[16, 14, 4, 7]","[22, 5, 21, 19, 24]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3
0.03,linear,1.0,8.0,4179,0,19,1.8839512311955275,"[11, 28, 0, 8, 7, 1, 25, 26, 15, 10, 9, 20, 13, 5, 23, 16, 18, 17, 24, 2, 6]","[19, 29, 22, 4]","[3, 12, 21, 27, 14]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",4
0.03,linear,1.0,8.0,3980,199,19,1.9807886881825465,"[19, 9, 2, 7, 23, 24, 11, 6, 12, 17, 3, 27, 29, 16, 1, 25, 20, 28, 18, 4, 26]","[15, 10, 13, 22]","[0, 5, 21, 14, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",5
0.03,linear,1.0,8.0,3980,199,19,1.97991361843215,"[16, 1, 6, 2, 27, 14, 22, 21, 24, 11, 4, 25, 8, 23, 26, 29, 28, 18, 20, 10, 9]","[19, 3, 13, 0]","[5, 12, 15, 7, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",6
0.03,linear,1.0,8.0,3980,199,19,1.966475359888905,"[12, 14, 4, 28, 22, 24, 17, 3, 27, 19, 18, 13, 0, 25, 23, 10, 8, 7, 1, 15, 6]","[16, 20, 5, 29]","[26, 2, 21, 9, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",7
0.03,linear,1.0,8.0,3980,199,19,2.065744985003037,"[15, 19, 8, 28, 13, 16, 14, 27, 10, 11, 0, 21, 17, 7, 3, 24, 9, 4, 22, 23, 12]","[1, 18, 6, 29]","[5, 26, 25, 2, 20]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",8
0.03,linear,1.0,8.0,3980,199,19,1.8865550582800608,"[9, 18, 14, 2, 25, 16, 23, 6, 3, 13, 7, 26, 15, 21, 20, 17, 27, 19, 22, 10, 8]","[28, 12, 5, 29]","[24, 11, 4, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",9
